11	11	1	
12	11	-0.5	
32	11	-0.5	
11	12	-0.5	
12	12	2	
13	12	-0.5	
33	12	-1	
12	13	-0.5	
13	13	2	
14	13	-0.5	
34	13	-1	
13	14	-0.5	
14	14	2	
15	14	-0.5	
35	14	-1	
14	15	-0.5	
15	15	2	
16	15	-0.5	
36	15	-1	
15	16	-0.5	
16	16	2	
17	16	-0.5	
37	16	-1	
16	17	-0.5	
17	17	2	
18	17	-0.5	
38	17	-1	
17	18	-0.5	
18	18	2	
19	18	-0.5	
39	18	-1	
18	19	-0.5	
19	19	2	
20	19	-0.5	
40	19	-1	
19	20	-0.5	
20	20	2	
21	20	-0.5	
41	20	-1	
20	21	-0.5	
21	21	1	
42	21	-0.5	
11	32	-0.5	
32	32	2	
33	32	-1	
53	32	-0.5	
12	33	-1	
32	33	-1	
33	33	4	
34	33	-1	
54	33	-1	
13	34	-1	
33	34	-1	
34	34	4	
35	34	-1	
55	34	-1	
14	35	-1	
34	35	-1	
35	35	4	
36	35	-1	
56	35	-1	
15	36	-1	
35	36	-1	
36	36	4	
37	36	-1	
57	36	-1	
16	37	-1	
36	37	-1	
37	37	4	
38	37	-1	
58	37	-1	
17	38	-1	
37	38	-1	
38	38	4	
39	38	-1	
59	38	-1	
18	39	-1	
38	39	-1	
39	39	4	
40	39	-1	
60	39	-1	
19	40	-1	
39	40	-1	
40	40	4	
41	40	-1	
61	40	-1	
20	41	-1	
40	41	-1	
41	41	4	
42	41	-1	
62	41	-1	
21	42	-0.5	
41	42	-1	
42	42	2	
63	42	-0.5	
32	53	-0.5	
53	53	2	
54	53	-1	
74	53	-0.5	
33	54	-1	
53	54	-1	
54	54	4	
55	54	-1	
75	54	-1	
34	55	-1	
54	55	-1	
55	55	4	
56	55	-1	
76	55	-1	
35	56	-1	
55	56	-1	
56	56	4	
57	56	-1	
77	56	-1	
36	57	-1	
56	57	-1	
57	57	4	
58	57	-1	
78	57	-1	
37	58	-1	
57	58	-1	
58	58	4	
59	58	-1	
79	58	-1	
38	59	-1	
58	59	-1	
59	59	4	
60	59	-1	
80	59	-1	
39	60	-1	
59	60	-1	
60	60	4	
61	60	-1	
81	60	-1	
40	61	-1	
60	61	-1	
61	61	4	
62	61	-1	
82	61	-1	
41	62	-1	
61	62	-1	
62	62	4	
63	62	-1	
83	62	-1	
42	63	-0.5	
62	63	-1	
63	63	2	
84	63	-0.5	
53	74	-0.5	
74	74	2	
75	74	-1	
95	74	-0.5	
54	75	-1	
74	75	-1	
75	75	4	
76	75	-1	
96	75	-1	
55	76	-1	
75	76	-1	
76	76	4	
77	76	-1	
97	76	-1	
56	77	-1	
76	77	-1	
77	77	4	
78	77	-1	
98	77	-1	
57	78	-1	
77	78	-1	
78	78	4	
79	78	-1	
99	78	-1	
58	79	-1	
78	79	-1	
79	79	4	
80	79	-1	
100	79	-1	
59	80	-1	
79	80	-1	
80	80	4	
81	80	-1	
101	80	-1	
60	81	-1	
80	81	-1	
81	81	4	
82	81	-1	
102	81	-1	
61	82	-1	
81	82	-1	
82	82	4	
83	82	-1	
103	82	-1	
62	83	-1	
82	83	-1	
83	83	4	
84	83	-1	
104	83	-1	
63	84	-0.5	
83	84	-1	
84	84	2	
105	84	-0.5	
74	95	-0.5	
95	95	2	
96	95	-1	
116	95	-0.5	
75	96	-1	
95	96	-1	
96	96	4	
97	96	-1	
117	96	-1	
76	97	-1	
96	97	-1	
97	97	4	
98	97	-1	
118	97	-1	
77	98	-1	
97	98	-1	
98	98	4	
99	98	-1	
119	98	-1	
78	99	-1	
98	99	-1	
99	99	4	
100	99	-1	
120	99	-1	
79	100	-1	
99	100	-1	
100	100	4	
101	100	-1	
121	100	-1	
80	101	-1	
100	101	-1	
101	101	4	
102	101	-1	
122	101	-1	
81	102	-1	
101	102	-1	
102	102	4	
103	102	-1	
123	102	-1	
82	103	-1	
102	103	-1	
103	103	4	
104	103	-1	
124	103	-1	
83	104	-1	
103	104	-1	
104	104	4	
105	104	-1	
125	104	-1	
84	105	-0.5	
104	105	-1	
105	105	2	
126	105	-0.5	
95	116	-0.5	
116	116	2	
117	116	-1	
137	116	-0.5	
96	117	-1	
116	117	-1	
117	117	4	
118	117	-1	
138	117	-1	
97	118	-1	
117	118	-1	
118	118	4	
119	118	-1	
139	118	-1	
98	119	-1	
118	119	-1	
119	119	4	
120	119	-1	
140	119	-1	
99	120	-1	
119	120	-1	
120	120	4	
121	120	-1	
141	120	-1	
100	121	-1	
120	121	-1	
121	121	4	
122	121	-1	
142	121	-1	
101	122	-1	
121	122	-1	
122	122	4	
123	122	-1	
143	122	-1	
102	123	-1	
122	123	-1	
123	123	4	
124	123	-1	
144	123	-1	
103	124	-1	
123	124	-1	
124	124	4	
125	124	-1	
145	124	-1	
104	125	-1	
124	125	-1	
125	125	4	
126	125	-1	
146	125	-1	
105	126	-0.5	
125	126	-1	
126	126	2	
147	126	-0.5	
116	137	-0.5	
137	137	2	
138	137	-1	
158	137	-0.5	
117	138	-1	
137	138	-1	
138	138	4	
139	138	-1	
159	138	-1	
118	139	-1	
138	139	-1	
139	139	4	
140	139	-1	
160	139	-1	
119	140	-1	
139	140	-1	
140	140	4	
141	140	-1	
161	140	-1	
120	141	-1	
140	141	-1	
141	141	4	
142	141	-1	
162	141	-1	
121	142	-1	
141	142	-1	
142	142	4	
143	142	-1	
163	142	-1	
122	143	-1	
142	143	-1	
143	143	4	
144	143	-1	
